iteration,eps,f,t2_grape,t2_ideal,t2_ratio,alpha_grape,alpha_ideal
87,2.000e-01,4.000e-01,1.120e-03,3.141e-04,3.565e+00,3.034e+00,3.791e+00
88,2.000e-01,5.000e-01,5.910e-04,1.679e-04,3.520e+00,3.062e+00,3.060e+00
89,3.000e-01,-5.000e-01,2.241e-04,1.460e-04,1.535e+00,3.059e+00,3.073e+00
90,3.000e-01,-4.000e-01,2.915e-04,1.874e-04,1.556e+00,3.016e+00,3.362e+00
91,3.000e-01,-3.000e-01,5.108e-04,1.485e-04,3.440e+00,3.172e+00,2.966e+00
92,3.000e-01,-2.000e-01,6.813e-04,3.158e-04,2.158e+00,3.613e+00,4.316e+00
93,3.000e-01,-1.000e-01,1.137e-03,2.199e-04,5.170e+00,4.025e+00,3.519e+00
94,3.000e-01,0.000e+00,9.119e-04,6.229e-04,1.464e+00,3.238e+00,3.242e+00
95,3.000e-01,1.000e-01,1.055e-03,2.199e-04,4.798e+00,2.867e+00,3.519e+00
96,3.000e-01,2.000e-01,9.951e-04,3.158e-04,3.152e+00,4.571e+00,4.316e+00
97,3.000e-01,3.000e-01,5.870e-04,1.485e-04,3.954e+00,3.160e+00,2.966e+00
98,3.000e-01,4.000e-01,3.560e-04,1.874e-04,1.900e+00,3.011e+00,3.362e+00
99,3.000e-01,5.000e-01,2.809e-04,1.460e-04,1.924e+00,3.061e+00,3.073e+00
100,4.000e-01,-5.000e-01,1.793e-04,1.253e-04,1.431e+00,3.020e+00,2.995e+00
101,4.000e-01,-4.000e-01,2.008e-04,1.427e-04,1.407e+00,3.007e+00,3.218e+00
102,4.000e-01,-3.000e-01,2.927e-04,1.246e-04,2.349e+00,3.197e+00,3.000e+00
103,4.000e-01,-2.000e-01,3.545e-04,2.320e-04,1.528e+00,3.521e+00,4.002e+00
104,4.000e-01,-1.000e-01,5.743e-04,1.721e-04,3.338e+00,3.899e+00,3.432e+00
105,4.000e-01,0.000e+00,4.034e-04,3.944e-04,1.023e+00,3.224e+00,3.275e+00
106,4.000e-01,1.000e-01,5.132e-04,1.721e-04,2.982e+00,3.474e+00,3.432e+00
107,4.000e-01,2.000e-01,6.057e-04,2.320e-04,2.611e+00,3.762e+00,4.002e+00
108,4.000e-01,3.000e-01,4.528e-04,1.246e-04,3.634e+00,3.570e+00,3.000e+00
109,4.000e-01,4.000e-01,2.540e-04,1.427e-04,1.781e+00,3.094e+00,3.218e+00
110,4.000e-01,5.000e-01,2.511e-04,1.253e-04,2.004e+00,3.270e+00,2.995e+00
111,5.000e-01,-5.000e-01,1.437e-04,1.018e-04,1.412e+00,3.093e+00,2.915e+00
112,5.000e-01,-4.000e-01,1.481e-04,1.181e-04,1.254e+00,2.906e+00,3.146e+00
113,5.000e-01,-3.000e-01,2.073e-04,1.085e-04,1.911e+00,3.129e+00,2.997e+00
114,5.000e-01,-2.000e-01,1.430e-04,1.930e-04,7.409e-01,2.787e+00,3.882e+00
115,5.000e-01,-1.000e-01,2.990e-04,1.522e-04,1.964e+00,3.554e+00,3.446e+00
116,5.000e-01,0.000e+00,3.272e-04,7.337e-04,4.459e-01,3.227e+00,3.553e+00
117,5.000e-01,1.000e-01,2.765e-04,1.522e-04,1.817e+00,3.103e+00,3.446e+00
118,5.000e-01,2.000e-01,1.627e-04,1.930e-04,8.427e-01,2.399e+00,3.882e+00
119,5.000e-01,3.000e-01,2.577e-04,1.085e-04,2.375e+00,3.213e+00,2.997e+00
120,5.000e-01,4.000e-01,3.561e-04,1.181e-04,3.015e+00,3.837e+00,3.146e+00
121,5.000e-01,5.000e-01,2.108e-04,1.018e-04,2.072e+00,3.301e+00,2.915e+00
