iteration,eps,f,t2_grape,t2_ideal,t2_ratio,alpha_grape,alpha_ideal
1,-5.000e-01,-5.000e-01,1.992e-04,1.469e-04,1.356e+00,3.233e+00,3.341e+00
2,-5.000e-01,-4.000e-01,2.266e-04,1.088e-04,2.084e+00,3.044e+00,3.053e+00
3,-5.000e-01,-3.000e-01,2.791e-04,1.356e-04,2.059e+00,3.135e+00,3.179e+00
4,-5.000e-01,-2.000e-01,7.042e-05,1.145e-04,6.152e-01,2.064e+00,3.204e+00
5,-5.000e-01,-1.000e-01,3.812e-04,1.195e-04,3.190e+00,3.221e+00,3.165e+00
6,-5.000e-01,0.000e+00,2.939e-04,7.336e-04,4.007e-01,3.226e+00,3.553e+00
7,-5.000e-01,1.000e-01,2.292e-04,1.195e-04,1.918e+00,3.280e+00,3.165e+00
8,-5.000e-01,2.000e-01,3.688e-04,1.145e-04,3.222e+00,3.937e+00,3.204e+00
9,-5.000e-01,3.000e-01,1.674e-04,1.356e-04,1.235e+00,3.041e+00,3.179e+00
10,-5.000e-01,4.000e-01,2.022e-04,1.088e-04,1.859e+00,3.739e+00,3.053e+00
11,-5.000e-01,5.000e-01,1.120e-04,1.469e-04,7.625e-01,3.255e+00,3.341e+00
12,-4.000e-01,-5.000e-01,2.145e-04,1.824e-04,1.176e+00,3.039e+00,3.499e+00
13,-4.000e-01,-4.000e-01,2.158e-04,1.219e-04,1.770e+00,3.030e+00,3.052e+00
14,-4.000e-01,-3.000e-01,3.545e-04,1.564e-04,2.267e+00,3.198e+00,3.246e+00
15,-4.000e-01,-2.000e-01,1.474e-04,1.252e-04,1.177e+00,2.270e+00,3.149e+00
16,-4.000e-01,-1.000e-01,3.758e-04,1.351e-04,2.783e+00,2.752e+00,3.140e+00
17,-4.000e-01,0.000e+00,3.473e-04,3.943e-04,8.808e-01,3.227e+00,3.275e+00
18,-4.000e-01,1.000e-01,3.375e-04,1.351e-04,2.499e+00,3.302e+00,3.140e+00
19,-4.000e-01,2.000e-01,6.352e-04,1.252e-04,5.073e+00,4.228e+00,3.149e+00
20,-4.000e-01,3.000e-01,2.458e-04,1.564e-04,1.572e+00,3.086e+00,3.246e+00
21,-4.000e-01,4.000e-01,2.846e-04,1.219e-04,2.335e+00,3.783e+00,3.052e+00
22,-4.000e-01,5.000e-01,1.738e-04,1.824e-04,9.528e-01,3.300e+00,3.499e+00
23,-3.000e-01,-5.000e-01,4.240e-04,2.329e-04,1.820e+00,3.033e+00,3.661e+00
24,-3.000e-01,-4.000e-01,2.835e-04,1.424e-04,1.991e+00,3.029e+00,3.032e+00
25,-3.000e-01,-3.000e-01,4.217e-04,1.927e-04,2.188e+00,3.192e+00,3.304e+00
26,-3.000e-01,-2.000e-01,4.096e-04,1.343e-04,3.050e+00,2.914e+00,3.009e+00
27,-3.000e-01,-1.000e-01,6.315e-04,1.568e-04,4.028e+00,2.861e+00,3.076e+00
28,-3.000e-01,0.000e+00,4.845e-04,6.228e-04,7.779e-01,3.228e+00,3.242e+00
29,-3.000e-01,1.000e-01,5.978e-04,1.568e-04,3.813e+00,3.418e+00,3.076e+00
30,-3.000e-01,2.000e-01,1.503e-03,1.343e-04,1.119e+01,4.436e+00,3.009e+00
31,-3.000e-01,3.000e-01,4.434e-04,1.927e-04,2.301e+00,3.280e+00,3.304e+00
32,-3.000e-01,4.000e-01,3.884e-04,1.424e-04,2.727e+00,3.716e+00,3.032e+00
33,-3.000e-01,5.000e-01,2.471e-04,2.329e-04,1.061e+00,3.067e+00,3.661e+00
34,-2.000e-01,-5.000e-01,7.507e-04,2.505e-04,2.997e+00,3.378e+00,3.444e+00
35,-2.000e-01,-4.000e-01,6.431e-04,1.796e-04,3.581e+00,3.013e+00,3.007e+00
36,-2.000e-01,-3.000e-01,6.836e-04,2.629e-04,2.600e+00,3.483e+00,3.427e+00
37,-2.000e-01,-2.000e-01,1.193e-03,1.364e-04,8.748e+00,4.726e+00,2.702e+00
38,-2.000e-01,-1.000e-01,1.855e-03,1.897e-04,9.776e+00,3.186e+00,2.963e+00
39,-2.000e-01,0.000e+00,9.147e-04,8.436e-04,1.084e+00,3.241e+00,3.282e+00
40,-2.000e-01,1.000e-01,1.381e-03,1.897e-04,7.278e+00,3.520e+00,2.963e+00
41,-2.000e-01,2.000e-01,1.485e-03,1.364e-04,1.089e+01,4.831e+00,2.702e+00
42,-2.000e-01,3.000e-01,7.113e-04,2.629e-04,2.706e+00,3.619e+00,3.427e+00
43,-2.000e-01,4.000e-01,3.539e-04,1.796e-04,1.971e+00,3.101e+00,3.007e+00
44,-2.000e-01,5.000e-01,3.311e-04,2.505e-04,1.322e+00,3.251e+00,3.444e+00
45,-1.000e-01,-5.000e-01,3.839e-04,2.395e-04,1.603e+00,3.055e+00,3.309e+00
46,-1.000e-01,-4.000e-01,7.145e-04,2.130e-04,3.354e+00,3.004e+00,2.878e+00
47,-1.000e-01,-3.000e-01,1.436e-03,3.498e-04,4.105e+00,3.285e+00,3.519e+00
48,-1.000e-01,-2.000e-01,1.199e-03,1.353e-04,8.856e+00,2.871e+00,2.181e+00
49,-1.000e-01,-1.000e-01,1.510e-03,2.750e-04,5.490e+00,3.299e+00,2.794e+00
50,-1.000e-01,0.000e+00,2.874e-03,9.879e-04,2.909e+00,4.207e+00,3.256e+00
51,-1.000e-01,1.000e-01,2.052e-03,2.750e-04,7.461e+00,3.877e+00,2.794e+00
52,-1.000e-01,2.000e-01,1.383e-03,1.353e-04,1.022e+01,4.394e+00,2.181e+00
53,-1.000e-01,3.000e-01,8.335e-04,3.498e-04,2.383e+00,3.701e+00,3.519e+00
54,-1.000e-01,4.000e-01,4.223e-04,2.130e-04,1.983e+00,3.076e+00,2.878e+00
55,-1.000e-01,5.000e-01,3.900e-04,2.395e-04,1.628e+00,3.291e+00,3.309e+00
56,0.000e+00,-5.000e-01,4.360e-04,2.230e-04,1.955e+00,3.060e+00,3.049e+00
57,0.000e+00,-4.000e-01,4.808e-04,3.122e-04,1.540e+00,3.006e+00,3.236e+00
58,0.000e+00,-3.000e-01,9.277e-04,3.234e-04,2.869e+00,3.240e+00,3.169e+00
59,0.000e+00,-2.000e-01,1.407e-03,3.816e-04,3.686e+00,3.452e+00,2.743e+00
60,0.000e+00,-1.000e-01,1.646e-03,7.085e-04,2.324e+00,3.081e+00,3.527e+00
61,0.000e+00,0.000e+00,2.720e-03,2.903e-03,9.370e-01,3.859e+00,4.648e+00
62,0.000e+00,1.000e-01,2.689e-03,7.085e-04,3.795e+00,3.777e+00,3.527e+00
63,0.000e+00,2.000e-01,1.647e-03,3.816e-04,4.316e+00,2.722e+00,2.743e+00
64,0.000e+00,3.000e-01,9.733e-04,3.234e-04,3.009e+00,3.329e+00,3.169e+00
65,0.000e+00,4.000e-01,8.447e-04,3.122e-04,2.706e+00,3.943e+00,3.236e+00
66,0.000e+00,5.000e-01,4.764e-04,2.230e-04,2.136e+00,3.316e+00,3.049e+00
67,1.000e-01,-5.000e-01,1.016e-03,2.370e-04,4.285e+00,3.534e+00,3.169e+00
68,1.000e-01,-4.000e-01,6.745e-04,3.765e-04,1.792e+00,3.000e+00,3.806e+00
69,1.000e-01,-3.000e-01,9.126e-04,2.809e-04,3.248e+00,3.590e+00,3.160e+00
70,1.000e-01,-2.000e-01,1.320e-03,5.610e-04,2.353e+00,4.082e+00,4.533e+00
71,1.000e-01,-1.000e-01,1.466e-03,4.277e-04,3.428e+00,3.054e+00,3.557e+00
72,1.000e-01,0.000e+00,1.466e-03,9.885e-04,1.483e+00,3.294e+00,3.258e+00
73,1.000e-01,1.000e-01,1.822e-03,4.277e-04,4.260e+00,3.174e+00,3.557e+00
74,1.000e-01,2.000e-01,1.376e-03,5.610e-04,2.453e+00,3.766e+00,4.533e+00
75,1.000e-01,3.000e-01,1.241e-03,2.809e-04,4.416e+00,3.342e+00,3.160e+00
76,1.000e-01,4.000e-01,9.826e-04,3.765e-04,2.610e+00,3.272e+00,3.806e+00
77,1.000e-01,5.000e-01,8.228e-04,2.370e-04,3.472e+00,3.770e+00,3.169e+00
78,2.000e-01,-5.000e-01,4.119e-04,1.679e-04,2.453e+00,3.173e+00,3.060e+00
79,2.000e-01,-4.000e-01,7.498e-04,3.141e-04,2.387e+00,3.011e+00,3.791e+00
80,2.000e-01,-3.000e-01,1.465e-03,1.992e-04,7.354e+00,3.142e+00,3.022e+00
81,2.000e-01,-2.000e-01,1.296e-03,4.893e-04,2.650e+00,2.759e+00,4.945e+00
82,2.000e-01,-1.000e-01,1.473e-03,3.085e-04,4.773e+00,3.693e+00,3.675e+00
83,2.000e-01,0.000e+00,1.380e-03,8.439e-04,1.635e+00,3.283e+00,3.282e+00
84,2.000e-01,1.000e-01,1.775e-03,3.085e-04,5.752e+00,3.500e+00,3.675e+00
85,2.000e-01,2.000e-01,1.857e-03,4.893e-04,3.795e+00,2.840e+00,4.945e+00
86,2.000e-01,3.000e-01,1.710e-03,1.992e-04,8.584e+00,3.192e+00,3.022e+00
