iteration,eps,f,Fidelity Grape,Fidelity Ideal
71,1.0000000e-01,-1.0000000e-01,9.9957054e-01,9.5976359e-01
72,1.0000000e-01,0.0000000e+00,9.9999652e-01,9.5105652e-01
73,1.0000000e-01,1.0000000e-01,9.9980979e-01,9.5976359e-01
74,1.0000000e-01,2.0000000e-01,9.9957674e-01,9.8036422e-01
75,1.0000000e-01,3.0000000e-01,9.9992224e-01,9.9805236e-01
76,1.0000000e-01,4.0000000e-01,9.9851849e-01,9.9350781e-01
77,1.0000000e-01,5.0000000e-01,9.9251210e-01,9.4933228e-01
78,2.0000000e-01,-5.0000000e-01,9.9268476e-01,9.8960933e-01
79,2.0000000e-01,-4.0000000e-01,9.9745525e-01,9.9457276e-01
80,2.0000000e-01,-3.0000000e-01,9.9968611e-01,9.4969982e-01
81,2.0000000e-01,-2.0000000e-01,9.9985312e-01,8.8457724e-01
82,2.0000000e-01,-1.0000000e-01,9.9947607e-01,8.3002483e-01
83,2.0000000e-01,0.0000000e+00,9.9999081e-01,8.0901699e-01
84,2.0000000e-01,1.0000000e-01,9.9978745e-01,8.3002483e-01
85,2.0000000e-01,2.0000000e-01,9.9994941e-01,8.8457724e-01
86,2.0000000e-01,3.0000000e-01,9.9987156e-01,9.4969982e-01
87,2.0000000e-01,4.0000000e-01,9.9884592e-01,9.9457276e-01
88,2.0000000e-01,5.0000000e-01,9.9986723e-01,9.8960933e-01
89,3.0000000e-01,-5.0000000e-01,9.9442710e-01,9.9969070e-01
90,3.0000000e-01,-4.0000000e-01,9.4862425e-01,9.5075436e-01
91,3.0000000e-01,-3.0000000e-01,9.9722847e-01,8.4284298e-01
92,3.0000000e-01,-2.0000000e-01,9.9448490e-01,7.1925849e-01
93,3.0000000e-01,-1.0000000e-01,9.9937368e-01,6.2358142e-01
94,3.0000000e-01,0.0000000e+00,9.9972371e-01,5.8778525e-01
95,3.0000000e-01,1.0000000e-01,9.9867798e-01,6.2358142e-01
96,3.0000000e-01,2.0000000e-01,9.9734768e-01,7.1925849e-01
97,3.0000000e-01,3.0000000e-01,9.9771077e-01,8.4284298e-01
98,3.0000000e-01,4.0000000e-01,9.7081531e-01,9.5075436e-01
99,3.0000000e-01,5.0000000e-01,9.9549594e-01,9.9969070e-01
