iteration,eps,f,t2_grape,t2_ideal,t2_ratio,alpha_grape,alpha_ideal
1,-5.000e-01,-5.000e-01,1.694e-04,1.085e-04,1.561e+00,3.284e+00,3.203e+00
2,-5.000e-01,-4.000e-01,2.470e-04,1.082e-04,2.283e+00,3.263e+00,3.185e+00
3,-5.000e-01,-3.000e-01,2.568e-04,1.174e-04,2.187e+00,3.270e+00,3.259e+00
4,-5.000e-01,-2.000e-01,2.241e-04,1.140e-04,1.965e+00,3.411e+00,3.226e+00
5,-5.000e-01,-1.000e-01,4.115e-04,1.073e-04,3.834e+00,3.672e+00,3.175e+00
6,-5.000e-01,0.000e+00,2.903e-04,1.266e-04,2.293e+00,3.346e+00,3.214e+00
7,-5.000e-01,1.000e-01,1.868e-04,1.073e-04,1.740e+00,3.149e+00,3.175e+00
8,-5.000e-01,2.000e-01,2.482e-04,1.140e-04,2.177e+00,3.206e+00,3.226e+00
9,-5.000e-01,3.000e-01,1.765e-04,1.174e-04,1.503e+00,3.300e+00,3.259e+00
10,-5.000e-01,4.000e-01,1.124e-04,1.082e-04,1.039e+00,3.263e+00,3.185e+00
11,-5.000e-01,5.000e-01,9.671e-05,1.085e-04,8.914e-01,3.223e+00,3.203e+00
12,-4.000e-01,-5.000e-01,2.198e-04,1.229e-04,1.789e+00,3.269e+00,3.200e+00
13,-4.000e-01,-4.000e-01,2.313e-04,1.213e-04,1.906e+00,3.213e+00,3.160e+00
14,-4.000e-01,-3.000e-01,3.033e-04,1.383e-04,2.194e+00,3.300e+00,3.283e+00
15,-4.000e-01,-2.000e-01,3.287e-04,1.332e-04,2.468e+00,3.535e+00,3.236e+00
16,-4.000e-01,-1.000e-01,5.118e-04,1.217e-04,4.206e+00,4.062e+00,3.154e+00
17,-4.000e-01,0.000e+00,3.453e-04,1.565e-04,2.206e+00,3.433e+00,3.213e+00
18,-4.000e-01,1.000e-01,2.775e-04,1.217e-04,2.280e+00,3.241e+00,3.154e+00
19,-4.000e-01,2.000e-01,4.031e-04,1.332e-04,3.027e+00,3.466e+00,3.236e+00
